,date,content,n_repost,n_like,n_comment,id,city,influency
21785,2024-01-30,"TWICE ""I GOT YOU"" MV TEASER
. http://t.cn/A6jlS4SK ​​​",1656,4781,235,告白預行絵本, 中国香港,6672
3125,2024-01-30,"#于适# ｜#于适粉丝# 
小🐟儿：我们好想你！
小于：点点头
（纯享一波姐妹们的呼唤声[开学季] http://t.cn/A6jWT203 ​​​",908,5122,407,昴中兔, 中国香港,6437
21780,2024-01-30,有种广西老妹在说话的美 http://t.cn/A6jlP6ro ​​​,927,5230,253,婉司姬, 中国香港,6410
21895,2024-01-30,"▸▸▸🎉#法证先锋6 今日杀青 🎉◂◂◂
        黄宗泽✖袁伟豪✖蔡洁
真相一步之遥🔍铁三角互怼破案 
优酷👖TVB出品🤝77工作室制作
   预约👉http://t.cn/A6jok8mv

P.S 不是我反應慢，是有人今天才把照片發給我喔！[偷笑] ​​​",320,5314,743,黄宗泽, 中国香港,6377
22120,2024-01-30,"从此灯塔
成为了港湾 http://t.cn/Ry8ZWuE ​​​",101,5242,860,纪同学叫思清, 中国香港,6203
3146,2024-01-30,tg脱次 ​​​,39,5747,368,脱粉回踩救钱包, 中国香港,6154
21807,2024-01-30,"马化腾昨天在腾讯年会上的35分钟发言实录已经传得到处都是了，比较少见的是他没怎么说虚话，直接评价了腾讯各条重要业务线的成绩，还挺有参考价值的。

表扬：

微信，视频号不愧是「全村的希望」，在短视频这块成功顶住了抖音带来的压力，而且重叠性不高，今年要全力做带货；

QQ和网媒，QQ还有潜力， ​​​",401,5173,261,阑夕, 中国香港,5835
3603,2024-01-30,你更支持谁的泥塑粉 http://t.cn/A6jliarN ​​​,118,4937,237,POP留声机, 中国香港,5292
21844,2024-01-30,【🐶🐱🐶🐱】泡宝们[HO加油] ​​​,1172,3902,188,黑泡队有炮就打, 中国香港,5262
3628,2024-01-30,ttt脱符4 ​​​,241,4408,328,脱粉回踩救钱包, 中国香港,4977
13678,2024-01-30,tg 脱娃6 ​​​,23,4716,186,脱粉回踩救钱包, 中国香港,4925
22325,2024-01-30,ttt ​​​,10,4744,130,脱粉回踩救钱包, 中国香港,4884
3331,2024-01-30,"🍠刷到的
我天 这个好好看❄️[愛慕] ​​​",226,3907,325,·Srawberry·, 中国香港,4458
13546,2024-01-30,其他三家都不约而同的认为过年期间的核心传播词是「年货」，而拼多多则选择了「正常发货」，感觉这也是个值得分析的运营差异。 ​​​,199,3976,195,阑夕, 中国香港,4370
75351,2024-01-30,tg 娃再见 爱不下去了 ​​​,17,3798,287,脱粉回踩救钱包, 中国香港,4102
21913,2024-01-30,"和2.0版新签名合照咯✍️
拒绝手指比心的小表情太好笑了

#于适玫瑰绅士# @于适Yosh 
#于适ROSEONLY品牌代言人# 
http://t.cn/A6jWaEKI ​​​",991,2769,305,于适之时遇谓者, 中国香港,4065
3379,2024-01-30,"#黄铉辰# hhj #黄铉辰范思哲全球品牌代言人# 
240130「铉辰ins」 更新

无配文

铉辰个人ɪɴs 🆔：hynjinnnn
信件收集📩http://t.cn/A6jcrEan
红包封面🧧http://t.cn/A6jafMfk
小貂团子特典🍙http://t.cn/A6j5HN7p
莺时祈愿生日盲盒🌷 http://t.cn/A6le3vx1
24生日国内线下数调💐  ​​​",985,2718,336,黄铉辰Hyunjin_HJsouL, 中国香港,4039
21906,2024-01-30,"等、等一下
还以为这里是冬雨主动
窝趣 春本树女士你是怎么知道后背有拉链的[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕] ​",247,3585,152,婉司姬, 中国香港,3984
