,content,city,date,id,n_repost,n_comment,n_like,influency
13761,"好消息是哪怕比原计划晚了一个小时才坐上🚢
也比原计划提前一个半小时到了🚅站
坏消息是想改签车票 要么一等座要么无座
那算了吧我还是坐我的二等座一路睡回去吧
反正回到了也不知道去哪里蹲
一周内体验三次返广高峰真是够够得了！ ​​",湛江市,2024-02-26,神经妙算小俏妞,1,2,0.0,3.0
10541,"#股市老枪[超话]#6、【车企纷纷发力智能驾驶 产业链有望受关注】
   在广东省召开全省高质量发展大会，广汽埃安总经理古惠南表示，广汽埃安将在埃安和昊铂品牌加速L3级智能驾驶以及城市NDA等智驾技术的落地和普及，计划在4月份落地城市NDA功能，并争取在2025年实现L4级智能驾驶，在2026年实现全固态电池量产搭载。除广汽集团外，2024年伊始，比亚迪、零跑、奇瑞、岚图也集中推进智能驾驶发展。
相关个股：德赛西威(002920) 、豪恩汽电(301488) 。",湛江市,2024-02-22,股王股市老枪,0,2,0.0,2.0
3282,"【大机遇 大文章 | 我们都是大湾区人】今天，是《粤港澳大湾区发展规划纲要》正式发布五周年。五年来，大湾区在习近平总书记擘画的蓝图上不断添砖加瓦，已成为国家战略发展格局中的重要一环。珠江奔流，南海捧珠，在洋流与陆地交汇之处，大湾区世界级城市群正以蓬勃欣荣之势大放光华，大湾区人正以积极昂扬的面貌追逐发展机遇。http://t.cn/A6YX199m （南方网）#高质量发展广东站C位##2024广东省高质量发展大会##读懂高质量发展就读懂了新广东# http://t.cn/A6YXB2qQ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 湛江",湛江市,2024-02-18,半岛湛江TSAMKONG,0,2,0.0,2.0
20504,"潮汕地区的民俗跑到了湛江地区表演了。
好像雷州话有点彼此相像。
中国遂溪 ​​",湛江市,2024-02-28,设计师andyleung_aac,0,2,0.0,2.0
29957,"同个小镇，怎么会有如此相像的两个人[感冒] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 湛江·云鼎汇电音派对 ​​",湛江市,2024-02-29,-郑宇翔,0,1,0.0,1.0
10715,"#林俊杰演唱会#
成都林俊杰 杭州林俊杰 福州林俊杰 深圳林俊杰
天津林俊杰
想去的宝贝可以看主页[努力] ​​",湛江市,2024-02-24,喜欢睡边边的阿志,0,1,0.0,1.0
11448,"@Kelly于文文 老婆来湛江带你看烟花🎆
 http://t.cn/A6Y0kUk6",湛江市,2024-02-24,葩神mp,0,1,0.0,1.0
2840,#广东省考[超话]#广东省高质量发展大会讲话 ​​,湛江市,2024-02-18,每天止睡23H,0,1,0.0,1.0
11568,"#游神# 

明年再回。✌🏼 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 湛江·博茂 http://t.cn/A6YOOylc ​​",湛江市,2024-02-25,_瑜寶,0,1,0.0,1.0
12163,#比亚迪为劝架车主奖励20万#这个广告打的好 懂得营销 ​ ​​,湛江市,2024-02-25,香甜板栗LV,0,1,0.0,1.0
