,content,city,date,id,n_repost,n_comment,n_like,influency
79,#2024广东省高质量发展大会# http://t.cn/A6YaVLan ​​,汕尾市,2024-02-18,胡柏嘉,0,0,0.0,0.0
10433,#高质量发展广东站C位# 、#读懂高质量发展就读懂了新广东#『新春第一会！广东省高质量发展大会18日召开_南方+_南方plus』http://t.cn/A6Y6E6Mx ​​,汕尾市,2024-02-21,用户7888512385,0,0,0.0,0.0
950,广东新春第一会，为什么聚焦这个主题？ http://t.cn/A6YXkPfe ​​,汕尾市,2024-02-18,金甘金_821,0,0,0.0,0.0
969,#2024广东省高质量发展大会# http://t.cn/A6YaQ8r9 ​​,汕尾市,2024-02-18,Misty蕾蕾蕾,0,0,0.0,0.0
1446,#高质量发展广东站C位##读懂高质量发展就读懂了新广东#『新春第一会！广东省高质量发展大会18日召开_南方+_南方plus』http://t.cn/A6Y6E6Mx ​​,汕尾市,2024-02-18,旅行的意义_199602,0,0,0.0,0.0
31403,"百草味 夏威夷果500g大颗粒罐装，26.9，这个奶油味挺好吃的，果仁饱满！
点：http://t.cn/A6YHyGRB ​​",汕尾市,2024-02-29,矮个子的逗比日常,0,0,0.0,0.0
19197,"-
不要为了无法掌控的事情烦恼 活的轻松自由一些吧 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕尾·古堡咖啡Looking stay ​​",汕尾市,2024-02-28,Aretarded-,0,0,0.0,0.0
10484,#高质量发展广东站C位# 、#读懂高质量发展就读懂了新广东# http://t.cn/A6YoLTNC ​​,汕尾市,2024-02-21,YU晓SSSss,0,0,0.0,0.0
17728,"#牡丹鹦鹉[超话]#出个紫奥闪 广东省内包邮 138 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 陆丰 ​​",汕尾市,2024-02-27,lamgaapaang,0,0,0.0,0.0
17723,在陆丰一直不联系 然后跑到东莞异地恋 不要了,汕尾市,2024-02-27,薛海杰-,0,0,0.0,0.0
17660,//@飞龙中医:回复@兰椿春生:家传分肝结在右上腹，脾结在左上腹。横结为阳其气易发，宜疏泻。竖结为阴，宜温补。//@兰椿春生:求教飞龙医生，左边腹部用手按有个长条状硬硬的东西，这是肝经硬结吗？还是脾经？估计从小就有了。您文中的病人是多久的结节？,汕尾市,2024-02-27,海石花生,0,0,0.0,0.0
11934,网络是好东西，看到视频号推荐外公点赞过的视频，感觉好像他还活着，只是我没有去看望他。与外公的聊天记录里的语音为还保留着，但是我不敢听。永远缅怀外公。还有爷爷👨🏻‍🦳 ​​,汕尾市,2024-02-25,_Xxiud,0,0,0.0,0.0
829,#2024广东省高质量发展大会# http://t.cn/A6YaAIzL ​​,汕尾市,2024-02-18,十一月不回家,0,0,0.0,0.0
1363,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6Ya6nPR ​​,汕尾市,2024-02-18,灰姑娘的井底蛙,0,0,0.0,0.0
1398,『王伟中同志在广东省高质量发展大会上的讲话实录（2024）』https://mp.weixin.qq.com/s?__biz=MjM5MzI4ODUzNg==&mid=2651607795&idx=1&sn=0d7d2cc7312cdceefa03143c2e2f5fc8&chksm=bcdc98a49d9fc594f35ad6da4dfd2a9655a8ae99bc1f9c711d979c52d697b54b8ff5187df50d&xtrack=1&scene=90&subscene=93&sessionid=1708265416&flutter_pos=0&clicktime=1708265418&enterid=1708265418&finder_biz_enter_id=4&ranksessionid=1708265133&ascene=56&fasttmpl_type=0&fasttmpl_fullversion=7063666-zh_CN-zip&fasttmpl_flag=0&realreporttime=1708265418504&devicetype=android-31&version=28002f35&nettype=WIFI&abtest_cookie=AAACAA%3D%3D&lang=zh_CN&session_us=gh_57054795602b&countrycode=CN&exportkey=n_ChQIAhIQ9brTMEXq4APfTceqjIrmzBLrAQIE97dBBAEAAAAAACxFMwxDl0sAAAAOpnltbLcz9gKNyK89dVj0OMZUDj3C4yeXX076MiSVYnXawxC3yiGKkT37CzN47d1xy251WMo3KMJN0ZtMsGC3b45xv1OjRy5boZ%2B%2FY30CbfHEfM0%2FUS%2B6sDdIDzqDqdcH%2FyRJamFR4l8PAi49SBwSYIJSdgOQUwp2HsA5MmagOe397LYCWgzO%2B1ypmD50Zz8FJdE7ZkOMVObTab6t3eeNSlVYel2B%2FzwKAbEYMtpbfz9Hz%2F%2Bbj%2BdJlW0TvrO%2BYGN6GA8RXHFKP%2FAtfZAJw%2Bl%2BbsnFfl4%3D&pass_ticket=nJsx0ueJVp74r9Z9Oj%2B2u9Z%2Btf9pfc36L3%2BNd8rcBBjuNrmoU30mrT3yPgWoNYA8BhE6sEfoUrEX7sS3XIZIOA%3D%3D&wx_header=3,汕尾市,2024-02-18,PENGJAN,0,0,0.0,0.0
1430,"【""最新发布！广东高质量发展大片来了""】, 快来看吧！ | http://t.cn/A6Ya0ywh 
#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东# ​​",汕尾市,2024-02-18,用户7729736025,0,0,0.0,0.0
12250,#明星大侦探中转站[超话]# 欢迎上车老师们 ​​,汕尾市,2024-02-25,熠颗起司,0,0,0.0,0.0
358,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaIWXT ​​,汕尾市,2024-02-18,ajiwvklo,0,0,0.0,0.0
90,#2024广东省高质量发展大会# http://t.cn/A6YaYYjf,汕尾市,2024-02-18,柒月心,0,0,0.0,0.0
11945,#杭州持械伤人宾利车主已被抓#太可怕了 必须严惩！ ​​,汕尾市,2024-02-25,Croissantmas16,0,0,0.0,0.0
294,http://t.cn/A6YaigSi南方宏论：“拼”出一个更好的广东——写在2024年全省高质量发展大会 ​​,汕尾市,2024-02-18,fishespaper,0,0,0.0,0.0
21490,0//@MD_宁小莉://@摩登兄弟刘宇宁广东摩饭大棚:#刘宇宁帝林# 。#刘宇宁紫川# 恭迎刘宇宁帝林大人@摩登兄弟刘宇宁,汕尾市,2024-02-28,MD_宁小莉,0,0,0.0,0.0
19687,【鼎益丰隋广义涉嫌操纵股价被查起诉：深圳曾两度警示风险】涉嫌操纵股份，香港证监会对鼎益丰前主席隋广义等人展开法律程序。2月26日，香港证监会表示，隋广义及另外20名人士涉嫌在2018年3月1日至2018年9月14日期间内操纵鼎益丰的股份。  ​​,汕尾市,2024-02-28,大湾财经,0,0,0.0,0.0
31503,"温氏自营补帖继续   
先加入店铺会员 
  
再领199-100补帖卷 
  
1. 椰子鸡火锅套餐1.25kg 
  
2. 椰子鸡火锅套餐2.25kg 
  
2件一起93.6亓，史低价了 
*110天以上土鸡 味道不输门店 
 
实时热销榜 天猫超市优惠券   
芙清医用面膜推荐>>",汕尾市,2024-02-29,白菜佰,0,0,0.0,0.0
1231,"我分享了【#2024广东省高质量发展大会#】, 快来看吧！ | http://t.cn/A6Ya0gnk",汕尾市,2024-02-18,用户7729736025,0,0,0.0,0.0
8435,《#2024广东省高质量发展大会# 》有事搜一搜，没事看一看http://t.cn/A6YaozsE #高质量发展广东站C位# 、#读懂高质量发展就读懂了新广东# ​​,汕尾市,2024-02-19,用户7801721900,0,0,0.0,0.0
