,date,content,n_repost,n_like,n_comment,id,city,influency
120799,2024-01-31,"🧨新年cj 到到到到૮ต•̤ ༝ •̤ตაིྀ  

🎀rz1【p1卡册】
❄️rz2 【p2抱枕】

🍰rp1  【p3卡套】四选一
🎠rp2 【p4 pb+一些饭制】fys
(rz rp都是按数量)

转盘：plq抽2人【可爱🧧封面】 

⋯⋯⋯♡2.10开(实物要等物流恢复)♡⋯⋯⋯
ᩚ 限wpp 不是hyq可以月月我🍑～
祝你们天天开 ​​​",8831,111,69,黄桃小厨房, 中国澳门,9011
22628,2024-01-01,"#王源[超话]##王源2024龙行绛气# #王源江苏卫视跨年晚会收视登顶# 
我知道你们想看什么
对不住了哥🤭@TFBOYS-王源 http://t.cn/A6lmE4cQ ​​​",1569,6096,862,PurpleMicrostar_1108王源, 中国澳门,8527
2094,2024-01-30,【】内娱是一个巨大的妹宝 ​​​,341,7274,771,青菜炒泥蛋, 中国澳门,8386
19775,2024-01-01,"#鞠婧祎[超话]# 

240101 下班

新年快乐🥺@鞠婧祎 ​​​ http://t.cn/A6lm8LSk http://t.cn/A6lm8Loz",932,6681,668,冰摇柠檬茶丨鞠婧祎, 中国澳门,8281
1530,2024-01-01,"新年快乐‼️
2024的第☝🏻波图：
来自Robert Wun专门为#邓紫棋IAMGLORIA世界巡回演唱会# 设计的开场LOOK：纯白女爵套装‼️❗️#邓紫棋[超话]# ​​​",615,6540,948,邓紫棋工作室, 中国澳门,8103
75782,2024-01-01,"#王俊凯[超话]#｜#11个王俊凯#｜#王俊凯官宣江苏卫视跨年# 
新年第一发 ！一起发！发！发！@TFBOYS-王俊凯 ​​​",1527,5556,620,BlackHole0921·王俊凯, 中国澳门,7703
70119,2024-01-01,"候场时360°旋转鞠躬招手的周深猫猫🐱

老师不好意思，我们这边的叫声都是“宝宝妈妈爱你”[doge][doge][doge] http://t.cn/A6luAUm6 ​​​",585,6082,372,橘子娱乐, 中国澳门,7039
45149,2024-01-01,"#鞠婧祎[超话]# 

240101 江苏卫视跨年

超～漂亮～@鞠婧祎 ​​​",842,4916,577,冰摇柠檬茶丨鞠婧祎, 中国澳门,6335
15353,2024-01-01,"#鞠婧祎[超话]# 
20240101
下班挥挥[哇]
新年红红火火💃🏻
@鞠婧祎 http://t.cn/A6lmQiJw ​​​",606,5231,442,海盐蜜桃酱丨鞠婧祎图博, 中国澳门,6279
120930,2024-01-31,【】评选新四普 http://t.cn/A6jTAWGW ​​​,36,5897,231,青菜炒泥蛋, 中国澳门,6164
