,content,city,date,id,n_repost,n_comment,n_like,influency
3120046,"暗河传撕完女主，撕男二？？？？
要不别演了，要么挂黑吧，太恐怖了[裂开][裂开][裂开] ，龚俊的事业要被你们毁了，黑良心",汕头市,2024-03-16,24k金海牛,3,9,0.0,12.0
1891436,乔·拜登：“工资上涨速度快于物价，现在我们是美国通货膨胀率最低的国家之一！”😂（来源:X原推特） http://t.cn/A6Yklsae ​​,汕头市,2024-03-14,孤烟暮蝉,1,11,0.0,12.0
2649316,卖了一小时都没卖完、能不能先还我们抢票播报啊？占着茅坑不拉屎的赔钱货,汕头市,2024-03-16,依然爱河豚,0,12,0.0,12.0
3382746,"种种种种，有图有真相，
请虞输昕向许凯道歉。
“叔可忍婶不可忍”。
不想惯着这种
如今的猪丝也不是22年的猪丝了。
#许凯虞书欣 指压板游戏复盘# xk#你好星期六#",汕头市,2024-03-17,克莱因蓝与莫兰迪灰,3,9,0.0,12.0
5237182,各单位注意，明晚建新群，铁粉宝们来玩哈 （搓手,汕头市,2024-03-22,2吉不是老邢,0,11,0.0,11.0
5634423,这次董宇辉的口碑急转直下，其实我觉得他总结就是卖货的，知识分子人设不要立太过吧！#董宇辉湖北行被指排场大#,汕头市,2024-03-25,全是故事君,0,11,0.0,11.0
6601635,"真的什么时候有人能心疼心疼一下李昊啊！！

什么都干了没有镜头还要被别人指着鼻子骂，甜桃每天都够傻白甜的，现生又忙，在微博也就是刷刷美图给李昊做做数据！没想到别人的黑子做的事情也能把锅扣我们头上！们甜桃全体冤大头，粉随蒸煮的好欺负！
今天的控评被骑脸，晚上正主被指着鼻子骂！我真的受够这个破地了，以后能不能麻烦你们看到ky跟他家的兄弟感情的麻烦@ 我一下，有些人我们可不愿意沾上呢？太肮脏无耻了！ 
 这个是大超的帖子，希望大家都能进来，泼脏水冤枉全体甜桃了，哪怕不反击我们也需要站出来表明态度「没做过，不怕报警处理」",汕头市,2024-03-27,橙子诗Orane,0,11,0.0,11.0
2511858,"说的好像谈恋爱是一个人的事儿一样，孙怡这属于撇清责任吧，这是不是有点儿不地道呀，离婚独立女性人设翻车了！都这样了，还在立人设，真的好表演型人格啊[允悲]
#孙怡滕光正时间线梳理##孙怡曾说谈恋爱从不主动#",汕头市,2024-03-15,全是故事君,0,11,0.0,11.0
7646865,"2024汕头狮潮音乐节演出时间公布/舞台搭建开始/蓄势待发[爱你][爱你][爱你]
#汕头狮潮音乐节#    汕头·亚青会体育中心",汕头市,2024-03-30,狮潮音乐节,2,9,0.0,11.0
7694677,#SSR交换站[超话]# 康康老婆们的美丽气泡🫧 抽两个与凤行普 明天开 ​,汕头市,2024-03-30,豌予,0,11,0.0,11.0
6227867,"#弘扬社会主义核心价值观是民法典的立法宗旨##正能量##天安门# 

有人发了一篇郭松民说插画天安门没画上伟人像等于叛国罪的文章给我看，给我气乐了[允悲]

打脸这种逗逼的无稽之谈，我不想浪费时间打太多字，直接上图。

中国邮政足够严肃吧？人民币足够严肃吧？

@胡锡进 老胡值得批评甚至嘲讽的地方很多，但绝不包括图5这张核心价值观配图。

极左们还是换个话题来批斗老胡吧，反正他的罪名那么多[摊手]

关于天安门画像是不是必须一定要有伟人像的争论，至此，该休了，除非今后有新的立法或规定，那另当别论。",汕头市,2024-03-27,琴师D018,5,6,0.0,11.0
